COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,,,VACCINES_USED,,,Abdala,Anhui ZL - Recombinant,AstraZeneca ,Beijing CNBG - BBIBP-CorV,CanSino ,Sputnik V,Janssen - ,Moderna,Novavx,Pfizer ,Covishield,Sinovac,Soberana02,Wuhan CNBG
Chile,CHL,AMRO,REPORTING,23-07-2021,24391470,13045143,127.596,68.241,11843564,61.956,21-12-2020,4,,,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,No,CanSino ,No,No,No,No,Pfizer ,No,Sinovac,No,No
China,CHN,WPRO,REPORTING,24-07-2021,1544257930,,104.96,,,,06-03-2021,6,,,"Anhui ZL - Recombinant,Beijing CNBG - BBIBP-CorV,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,CanSino ,No,No,No,No,Pfizer ,No,Sinovac,No,Wuhan CNBG
Colombia,COL,AMRO,REPORTING,23-07-2021,24535783,15672550,48.22,30.801,10889063,21.4,17-02-2021,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,No,No,Pfizer ,No,Sinovac,No,No
Comoros,COM,AFRO,REPORTING,26-07-2021,125960,84740,14.485,9.745,41220,4.74,10-04-2021,3,,,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Congo,COG,AFRO,REPORTING,26-07-2021,126168,57795,2.286,1.047,68373,1.239,23-03-2021,4,,,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,Moderna,No,No,Covishield,No,No,No
Cook Islands,COK,WPRO,REPORTING,13-07-2021,20509,10931,116.767,62.235,9578,54.532,17-05-2021,1,,,Pfizer BioNTech - Comirnaty,,,No,Abdala,No,No,No,No,No,No,No,Pfizer ,No,No,No,No
Costa Rica,CRI,AMRO,REPORTING,23-07-2021,2878760,2046614,56.511,40.176,832146,16.335,24-12-2020,2,,,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,Pfizer ,No,No,No,No
Côte d’Ivoire,CIV,AFRO,REPORTING,26-07-2021,929427,831249,3.523,3.151,98178,0.372,01-03-2021,3,,,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,No,No,No,Covishield,No,No,No
Croatia,HRV,EURO,REPORTING,25-07-2021,3000770,1608290,73.9,39.793,1385907,35.246,23-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Cuba,CUB,AMRO,REPORTING,28-05-2021,798655,798655,7.051,7.051,,,,2,,,"Abdala, Soberana02",,,Abdala,Abdala,No,No,No,No,No,No,No,No,No,No,No,No
